Date,High
1980-03-24,290.0
1980-03-31,280.0
1980-04-07,285.0
1980-04-14,275.0
1980-04-21,295.0
1980-04-28,275.0
1980-05-05,305.0
1980-05-12,330.0
1980-05-19,335.0
1980-05-26,340.0
1980-06-02,330.0
1980-06-09,340.0
1980-06-16,340.0
1980-06-23,330.0
1980-06-30,325.0
1980-07-07,335.0
1980-07-14,345.0
1980-07-21,360.0
1980-07-28,340.0
1980-08-04,380.0
1980-08-11,390.0
1980-08-18,405.0
1980-08-25,405.0
1980-09-01,380.0
1980-09-08,415.0
1980-09-15,415.0
1980-09-22,415.0
1980-09-29,400.0
1980-10-06,410.0
1980-10-13,425.0
1980-10-20,440.0
1980-10-27,435.0
1980-11-03,420.0
1980-11-10,420.0
1980-11-17,445.0
1980-11-24,450.0
1980-12-01,475.0
1980-12-08,490.0
1980-12-15,425.0
1980-12-22,435.0
1980-12-29,440.0
1981-01-05,445.0
1981-01-12,445.0
1981-01-19,445.0
1981-01-26,430.0
1981-02-02,450.0
1981-02-09,445.0
1981-02-16,425.0
1981-02-23,500.0
1981-03-02,500.0
1981-03-09,505.0
1981-03-16,495.0
1981-03-23,495.0
1981-03-30,510.0
1981-04-06,510.0
1981-04-13,510.0
1981-04-20,515.0
1981-04-27,535.0
1981-05-04,540.0
1981-05-11,540.0
1981-05-18,540.0
1981-05-25,520.0
1981-06-01,540.0
1981-06-08,540.0
1981-06-15,540.0
1981-06-22,530.0
1981-06-29,525.0
1981-07-06,505.0
1981-07-13,480.0
1981-07-20,490.0
1981-07-27,500.0
1981-08-03,505.0
1981-08-10,535.0
1981-08-17,530.0
1981-08-24,520.0
1981-08-31,505.0
1981-09-07,505.0
1981-09-14,500.0
1981-09-21,495.0
1981-09-28,480.0
1981-10-05,460.0
1981-10-12,485.0
1981-10-19,505.0
1981-10-26,525.0
1981-11-02,535.0
1981-11-09,535.0
1981-11-16,560.0
1981-11-23,590.0
1981-11-30,605.0
1981-12-07,600.0
1981-12-14,575.0
1981-12-21,575.0
1981-12-28,570.0
1982-01-04,570.0
1982-01-11,560.0
1982-01-18,555.0
1982-01-25,525.0
1982-02-01,530.0
1982-02-08,530.0
1982-02-15,530.0
1982-02-22,530.0
1982-03-01,530.0
1982-03-08,515.0
1982-03-15,485.0
1982-03-22,490.0
1982-03-29,495.0
1982-04-05,520.0
1982-04-12,525.0
1982-04-19,520.0
1982-04-26,525.0
1982-05-03,520.0
1982-05-10,535.0
1982-05-17,525.0
1982-05-24,525.0
1982-05-31,520.0
1982-06-07,515.0
1982-06-14,500.0
1982-06-21,495.0
1982-06-28,515.0
1982-07-05,510.0
1982-07-12,490.0
1982-07-19,500.0
1982-07-26,500.0
1982-08-02,495.0
1982-08-09,485.0
1982-08-16,470.0
1982-08-23,505.0
1982-08-30,515.0
1982-09-06,540.0
1982-09-13,545.0
1982-09-20,560.0
1982-09-27,565.0
1982-10-04,600.0
1982-10-11,620.0
1982-10-18,635.0
1982-10-25,630.0
1982-11-01,680.0
1982-11-08,705.0
1982-11-15,710.0
1982-11-22,705.0
1982-11-29,705.0
1982-12-06,720.0
1982-12-13,745.0
1982-12-20,790.0
1982-12-27,790.0
1983-01-03,795.0
1983-01-10,800.0
1983-01-17,790.0
1983-01-24,780.0
1983-01-31,785.0
1983-02-07,785.0
1983-02-14,815.0
1983-02-21,845.0
1983-02-28,880.0
1983-03-07,885.0
1983-03-14,895.0
1983-03-21,970.0
1983-03-28,985.0
1983-04-04,930.0
1983-04-11,935.0
1983-04-18,965.0
1983-04-25,990.0
1983-05-02,985.0
1983-05-09,980.0
1983-05-16,1000.0
1983-05-23,1005.0
1983-05-30,1005.0
1983-06-06,1005.0
1983-06-13,990.0
1983-06-20,980.0
1983-06-27,965.0
1983-07-04,930.0
1983-07-11,930.0
1983-07-18,970.0
1983-07-25,970.0
1983-08-01,985.0
1983-08-08,980.0
1983-08-15,1000.0
1983-08-22,1020.0
1983-08-29,1090.0
1983-09-05,1210.0
1983-09-12,1160.0
1983-09-19,1190.0
1983-09-26,1270.0
1983-10-03,1245.0
1983-10-10,1310.0
1983-10-17,1285.0
1983-10-24,1310.0
1983-10-31,1320.0
1983-11-07,1315.0
1983-11-14,1340.0
1983-11-21,1360.0
1983-11-28,1390.0
1983-12-05,1410.0
1983-12-12,1410.0
1983-12-19,1400.0
1983-12-26,1370.0
1984-01-02,1330.0
1984-01-09,1385.0
1984-01-16,1385.0
1984-01-23,1360.0
1984-01-30,1355.0
1984-02-06,1355.0
1984-02-13,1350.0
1984-02-20,1310.0
1984-02-27,1305.0
1984-03-05,1305.0
1984-03-12,1295.0
1984-03-19,1295.0
1984-03-26,1270.0
1984-04-02,1270.0
1984-04-09,1265.0
1984-04-16,1280.0
1984-04-23,1280.0
1984-04-30,1290.0
1984-05-07,1340.0
1984-05-14,1375.0
1984-05-21,1370.0
1984-05-28,1335.0
1984-06-04,1315.0
1984-06-11,1310.0
1984-06-18,1305.0
1984-06-25,1290.0
1984-07-02,1280.0
1984-07-09,1265.0
1984-07-16,1270.0
1984-07-23,1270.0
1984-07-30,1265.0
1984-08-06,1310.0
1984-08-13,1310.0
1984-08-20,1315.0
1984-08-27,1315.0
1984-09-03,1315.0
1984-09-10,1315.0
1984-09-17,1320.0
1984-09-24,1330.0
1984-10-01,1330.0
1984-10-08,1330.0
1984-10-15,1325.0
1984-10-22,1325.0
1984-10-29,1325.0
1984-11-05,1325.0
1984-11-12,1325.0
1984-11-19,1320.0
1984-11-26,1320.0
1984-12-03,1305.0
1984-12-10,1290.0
1984-12-17,1295.0
1984-12-24,1300.0
1984-12-31,1300.0
1985-01-07,1325.0
1985-01-14,1335.0
1985-01-21,1370.0
1985-01-28,1430.0
1985-02-04,1500.0
1985-02-11,1520.0
1985-02-18,1520.0
1985-02-25,1520.0
1985-03-04,1520.0
1985-03-11,1510.0
1985-03-18,1800.0
1985-03-25,1850.0
1985-04-01,1855.0
1985-04-08,1820.0
1985-04-15,1770.0
1985-04-22,1850.0
1985-04-29,1855.0
1985-05-06,1865.0
1985-05-13,1855.0
1985-05-20,1865.0
1985-05-27,1865.0
1985-06-03,1885.0
1985-06-10,1900.0
1985-06-17,1935.0
1985-06-24,2160.0
1985-07-01,2195.0
1985-07-08,2235.0
1985-07-15,2235.0
1985-07-22,2235.0
1985-07-29,2125.0
1985-08-05,2125.0
1985-08-12,2110.0
1985-08-19,2090.0
1985-08-26,2055.0
1985-09-02,2060.0
1985-09-09,2075.0
1985-09-16,2065.0
1985-09-23,2050.0
1985-09-30,2175.0
1985-10-07,2195.0
