epochs = 25	rmse = 3148.14693848
epochs = 50	rmse = 3149.69939193
epochs = 75	rmse = 3159.34187618
epochs = 100	rmse = 3199.40409756
epochs = 125	rmse = 3578.50925096
epochs = 150	rmse = 11813.3722892
epochs = 175	rmse = 47337.6453629
epochs = 200	rmse = 45160.572832
epochs = 225	rmse = 84428.7877318
epochs = 250	rmse = 3215.03282948
epochs = 275	rmse = 3204.59383342
epochs = 300	rmse = 3203.06737462
epochs = 325	rmse = 3203.43479421
epochs = 350	rmse = 3203.49930759
epochs = 375	rmse = 3202.98614711
epochs = 400	rmse = 3202.0767281
epochs = 425	rmse = 3201.43341761
epochs = 450	rmse = 3201.67091302
epochs = 475	rmse = 3202.59394939
epochs = 500	rmse = 3203.71082743
epochs = 525	rmse = 3205.65075639
epochs = 550	rmse = 3210.79561628
epochs = 575	rmse = 3223.90474788
epochs = 600	rmse = 3201.3827427
epochs = 625	rmse = 3202.46708977
epochs = 650	rmse = 3203.78616306
epochs = 675	rmse = 3205.26116448
epochs = 700	rmse = 3206.65892092
epochs = 725	rmse = 3208.33078101
epochs = 750	rmse = 3210.44728087
epochs = 775	rmse = 3212.62087444
epochs = 800	rmse = 3215.55598934
epochs = 825	rmse = 3219.53722992
epochs = 850	rmse = 3224.26774728
epochs = 875	rmse = 3231.51891682
epochs = 900	rmse = 3244.26361041
epochs = 925	rmse = 3267.06170395
epochs = 950	rmse = 3272.72290545
epochs = 975	rmse = 3276.80039864
epochs = 1000	rmse = 3342.14732844
epochs = 1025	rmse = 3420.5451196
epochs = 1050	rmse = 3423.69986176
epochs = 1075	rmse = 3425.2382781
epochs = 1100	rmse = 3425.72701551
epochs = 1125	rmse = 3425.53571363
epochs = 1150	rmse = 3425.01056271
epochs = 1175	rmse = 3424.27149584
epochs = 1200	rmse = 3423.39195469
epochs = 1225	rmse = 3422.49738549
epochs = 1250	rmse = 3421.68895944
epochs = 1275	rmse = 3420.87727392
epochs = 1300	rmse = 3420.15231692
epochs = 1325	rmse = 3419.48275007
epochs = 1350	rmse = 3418.84660585
epochs = 1375	rmse = 3386.07063714
epochs = 1400	rmse = 3386.51658266
epochs = 1425	rmse = 3386.72621558
epochs = 1450	rmse = 3386.98076662
epochs = 1475	rmse = 3386.95224771
epochs = 1500	rmse = 3387.03520236
epochs = 1525	rmse = 3386.96932503
epochs = 1550	rmse = 3386.89750638
epochs = 1575	rmse = 3386.87401345
epochs = 1600	rmse = 3386.48491859
epochs = 1625	rmse = 3386.39390657
epochs = 1650	rmse = 3385.89482681
epochs = 1675	rmse = 3384.73874901
epochs = 1700	rmse = 3389.8579315
epochs = 1725	rmse = 3390.73700733
epochs = 1750	rmse = 3393.92252457
epochs = 1775	rmse = 3396.23212833
epochs = 1800	rmse = 3397.0955072
epochs = 1825	rmse = 3397.26475114
epochs = 1850	rmse = 3397.54317054
epochs = 1875	rmse = 3398.21991717
epochs = 1900	rmse = 3402.74614988
epochs = 1925	rmse = 3542.78402105
