epochs=10, rmse=3142.000, min=3142.000, min_epoch=10
epochs=20, rmse=3139.938, min=3139.938, min_epoch=20
epochs=30, rmse=3141.064, min=3139.938, min_epoch=20
epochs=40, rmse=3139.955, min=3139.938, min_epoch=20
epochs=50, rmse=3143.115, min=3139.938, min_epoch=20
epochs=60, rmse=3141.685, min=3139.938, min_epoch=20
epochs=70, rmse=3142.587, min=3139.938, min_epoch=20
epochs=80, rmse=3143.806, min=3139.938, min_epoch=20
epochs=90, rmse=3141.223, min=3139.938, min_epoch=20
epochs=100, rmse=3142.034, min=3139.938, min_epoch=20
epochs=110, rmse=3144.740, min=3139.938, min_epoch=20
epochs=120, rmse=3141.192, min=3139.938, min_epoch=20
epochs=130, rmse=3142.987, min=3139.938, min_epoch=20
epochs=140, rmse=3141.395, min=3139.938, min_epoch=20
epochs=150, rmse=3140.537, min=3139.938, min_epoch=20
epochs=160, rmse=3141.338, min=3139.938, min_epoch=20
epochs=170, rmse=3140.767, min=3139.938, min_epoch=20
epochs=180, rmse=3141.975, min=3139.938, min_epoch=20
epochs=190, rmse=3141.421, min=3139.938, min_epoch=20
epochs=200, rmse=3142.621, min=3139.938, min_epoch=20
epochs=210, rmse=3141.499, min=3139.938, min_epoch=20
epochs=220, rmse=3138.807, min=3138.807, min_epoch=220
epochs=230, rmse=3141.847, min=3138.807, min_epoch=220
epochs=240, rmse=3141.254, min=3138.807, min_epoch=220
epochs=250, rmse=3141.702, min=3138.807, min_epoch=220
epochs=260, rmse=3138.768, min=3138.768, min_epoch=260
epochs=270, rmse=3141.450, min=3138.768, min_epoch=260
epochs=280, rmse=3142.680, min=3138.768, min_epoch=260
epochs=290, rmse=3143.824, min=3138.768, min_epoch=260
epochs=300, rmse=3144.715, min=3138.768, min_epoch=260
epochs=310, rmse=3140.414, min=3138.768, min_epoch=260
epochs=320, rmse=3142.027, min=3138.768, min_epoch=260
epochs=330, rmse=3143.578, min=3138.768, min_epoch=260
epochs=340, rmse=3141.120, min=3138.768, min_epoch=260
